Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonS3,StandardStorage,StorageObjectCount,prod-qa-reports,07/01/20 00:00:00,07/02/20 00:00:00,33
AmazonS3,StandardStorage,StorageObjectCount,dmap-prod-d3js,07/01/20 00:00:00,07/02/20 00:00:00,8
AmazonS3,StandardStorage,StorageObjectCount,prod-fin-mgmt-report,07/01/20 00:00:00,07/02/20 00:00:00,4
AmazonS3,StandardStorage,StorageObjectCount,tapro-atg-t1-complete,07/01/20 00:00:00,07/02/20 00:00:00,9986
AmazonS3,StandardStorage,StorageObjectCount,dmap-prod-nifi,07/01/20 00:00:00,07/02/20 00:00:00,41
AmazonS3,StandardStorage,StorageObjectCount,dmap-prod-data-warehouse,07/01/20 00:00:00,07/02/20 00:00:00,160355
AmazonS3,PutObject,EU-C3DataTransfer-In-Bytes,dmap-prod-data-warehouse,07/01/20 00:00:00,07/02/20 00:00:00,708276422
AmazonS3,ListBucket,EU-Requests-Tier1,prod-fin-mgmt-report,07/01/20 00:00:00,07/02/20 00:00:00,2
AmazonS3,ListMultipartUploads,EU-C3DataTransfer-Out-Bytes,dmap-prod-data-warehouse,07/01/20 00:00:00,07/02/20 00:00:00,1496
AmazonS3,ListMultipartUploads,EU-Requests-Tier1,dmap-prod-data-warehouse,07/01/20 00:00:00,07/02/20 00:00:00,4
AmazonS3,ListBucket,EU-C3DataTransfer-Out-Bytes,prod-fin-mgmt-report,07/01/20 00:00:00,07/02/20 00:00:00,1697
AmazonS3,PutObject,EU-Requests-Tier1,dmap-prod-data-warehouse,07/01/20 00:00:00,07/02/20 00:00:00,5596
AmazonS3,ReadLocation,EU-USE1-AWS-Out-Bytes,dmap-sap-daas,07/01/20 00:00:00,07/02/20 00:00:00,4384
AmazonS3,ReadLocation,EU-Requests-Tier2,prod-seo-auto-reports,07/01/20 00:00:00,07/02/20 00:00:00,33
AmazonS3,HeadBucket,Requests-Tier2,prod-rds-error-slowquey-logs,07/01/20 00:00:00,07/02/20 00:00:00,2
AmazonS3,ReadBucketPublicAccessBlock,EU-USE1-AWS-Out-Bytes,dmap-prod-wifi-db,07/01/20 00:00:00,07/02/20 00:00:00,326
AmazonS3,HeadBucket,C3DataTransfer-Out-Bytes,dmap-prod-braze,07/01/20 00:00:00,07/02/20 00:00:00,924
AmazonS3,ReadLocation,EU-USE1-AWS-Out-Bytes,dataquality.seera.report,07/01/20 00:00:00,07/02/20 00:00:00,4384
AmazonS3,ReadLocation,EU-Requests-Tier2,elasticbeanstalk-eu-west-1-032862061730,07/01/20 00:00:00,07/02/20 00:00:00,32
AmazonS3,HeadBucket,Requests-Tier2,edl-online-backup,07/01/20 00:00:00,07/02/20 00:00:00,9
AmazonS3,ReadBucketPublicAccessBlock,EU-USE1-AWS-Out-Bytes,edl-adjust,07/01/20 00:00:00,07/02/20 00:00:00,326
AmazonS3,HeadBucket,C3DataTransfer-Out-Bytes,tapro-atg-t1-complete,07/01/20 00:00:00,07/02/20 00:00:00,1417
AmazonS3,ReadLocation,EU-USE1-AWS-Out-Bytes,dmap-prod-crm-data-ingestion,07/01/20 00:00:00,07/02/20 00:00:00,4384
AmazonS3,ReadBucketPublicAccessBlock,EU-Requests-Tier2,dmap-prod-cf,07/01/20 00:00:00,07/02/20 00:00:00,1
AmazonS3,HeadBucket,Requests-Tier2,elasticbeanstalk-eu-west-1-032862061730,07/01/20 00:00:00,07/02/20 00:00:00,2
AmazonS3,ReadBucketPublicAccessBlock,EU-USE1-AWS-Out-Bytes,dmap-public-tableau-nlb-logs,07/01/20 00:00:00,07/02/20 00:00:00,358
AmazonS3,HeadBucket,C3DataTransfer-Out-Bytes,dmap-prod-datascience,07/01/20 00:00:00,07/02/20 00:00:00,1427
AmazonS3,ReadLocation,EU-USE1-AWS-Out-Bytes,elaa-sap1,07/01/20 00:00:00,07/02/20 00:00:00,4384
AmazonS3,ReadBucketPublicAccessBlock,EU-Requests-Tier2,prod-qa-reports,07/01/20 00:00:00,07/02/20 00:00:00,1
AmazonS3,HeadBucket,Requests-Tier2,dmap-public-alb-logs,07/01/20 00:00:00,07/02/20 00:00:00,4
AmazonS3,HeadBucket,C3DataTransfer-Out-Bytes,prod-winter-at-tantora-bigquery,07/01/20 00:00:00,07/02/20 00:00:00,978
AmazonS3,ReadLocation,EU-USE1-AWS-Out-Bytes,dmap-prod-data-warehouse,07/01/20 00:00:00,07/02/20 00:00:00,4384
AmazonS3,ReadBucketPublicAccessBlock,EU-Requests-Tier2,dmap-test-bucket,07/01/20 00:00:00,07/02/20 00:00:00,1
AmazonS3,HeadBucket,Requests-Tier2,esmash,07/01/20 00:00:00,07/02/20 00:00:00,5
AmazonS3,HeadBucket,C3DataTransfer-Out-Bytes,dmap-sap-omr,07/01/20 00:00:00,07/02/20 00:00:00,2295
AmazonS3,ReadLocation,EU-USE1-AWS-Out-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,4384
AmazonS3,ReadBucketPublicAccessBlock,EU-Requests-Tier2,dmap-prod-hub,07/01/20 00:00:00,07/02/20 00:00:00,1
AmazonS3,HeadBucket,Requests-Tier2,prod-rds-general-logs,07/01/20 00:00:00,07/02/20 00:00:00,3
AmazonS3,HeadBucket,C3DataTransfer-Out-Bytes,testing-cloudwatch-logs,07/01/20 00:00:00,07/02/20 00:00:00,1912
AmazonS3,ReadLocation,EU-USE1-AWS-Out-Bytes,edl-online-backup,07/01/20 00:00:00,07/02/20 00:00:00,4384
AmazonS3,ReadBucketPublicAccessBlock,EU-Requests-Tier2,dmap-prod-braze,07/01/20 00:00:00,07/02/20 00:00:00,1
AmazonS3,HeadBucket,Requests-Tier2,dataquality.seera.report,07/01/20 00:00:00,07/02/20 00:00:00,4
AmazonS3,HeadBucket,C3DataTransfer-Out-Bytes,dmap-prod-hub,07/01/20 00:00:00,07/02/20 00:00:00,916
AmazonS3,ReadLocation,EU-USE1-AWS-Out-Bytes,dmap-data-bucket,07/01/20 00:00:00,07/02/20 00:00:00,4384
